LANGUAGE,DATASET,ACCURACY,WAREHOUSE_SIZE,REPETITION_NUM,START_TIME,END_TIME,ELAPSED_TIME_MS
python-udtf,yelp-reviews,0.92015,CHIPMUNK_WH_L,3,2024-11-10 09:31:30.476,2024-11-10 09:33:35.167,124691
python-udtf,yelp-reviews,0.92015,CHIPMUNK_WH_L,2,2024-11-10 09:28:19.989,2024-11-10 09:30:28.727,128738
python-udtf,yelp-reviews,0.92015,CHIPMUNK_WH_L,1,2024-11-10 09:18:24.970,2024-11-10 09:20:31.655,126685
python-udtf,yelp-reviews,0.92015,CHIPMUNK_WH_M,3,2024-11-10 09:16:02.192,2024-11-10 09:18:01.890,119698
python-udtf,yelp-reviews,0.92015,CHIPMUNK_WH_M,2,2024-11-10 09:13:44.407,2024-11-10 09:15:46.550,122143
python-udtf,yelp-reviews,0.92015,CHIPMUNK_WH_M,1,2024-11-10 09:11:23.204,2024-11-10 09:13:29.404,126200
python-udtf,yelp-reviews,0.92015,CHIPMUNK_WH_S,3,2024-11-10 09:08:42.715,2024-11-10 09:10:47.487,124772
python-udtf,yelp-reviews,0.92015,CHIPMUNK_WH_S,2,2024-11-10 09:06:19.461,2024-11-10 09:08:23.844,124383
python-udtf,yelp-reviews,0.92015,CHIPMUNK_WH_S,1,2024-11-10 09:03:49.102,2024-11-10 09:06:07.016,137914
python-udtf,yelp-reviews,0.92015,CHIPMUNK_WH_XS,3,2024-11-10 09:01:11.196,2024-11-10 09:03:21.944,130748
python-udtf,yelp-reviews,0.92015,CHIPMUNK_WH_XS,2,2024-11-10 08:58:19.961,2024-11-10 09:00:34.791,134830
python-udtf,yelp-reviews,0.92015,CHIPMUNK_WH_XS,1,2024-11-10 08:54:33.884,2024-11-10 08:57:11.344,157460
sql,yelp-reviews,0.921238,CHIPMUNK_WH_L,3,2024-11-10 08:51:07.881,2024-11-10 08:51:47.060,39179
sql,yelp-reviews,0.921238,CHIPMUNK_WH_L,2,2024-11-10 08:50:11.530,2024-11-10 08:50:49.512,37982
sql,yelp-reviews,0.921238,CHIPMUNK_WH_L,1,2024-11-10 08:49:09.600,2024-11-10 08:49:53.086,43486
sql,yelp-reviews,0.921238,CHIPMUNK_WH_M,3,2024-11-10 08:47:58.599,2024-11-10 08:48:33.810,35211
sql,yelp-reviews,0.921238,CHIPMUNK_WH_M,2,2024-11-10 08:46:52.604,2024-11-10 08:47:27.342,34738
sql,yelp-reviews,0.921238,CHIPMUNK_WH_M,1,2024-11-10 08:46:00.703,2024-11-10 08:46:38.471,37768
sql,yelp-reviews,0.921238,CHIPMUNK_WH_S,3,2024-11-10 08:45:00.715,2024-11-10 08:45:41.945,41230
sql,yelp-reviews,0.921238,CHIPMUNK_WH_S,2,2024-11-10 08:42:01.565,2024-11-10 08:42:40.736,39171
sql,yelp-reviews,0.921238,CHIPMUNK_WH_S,1,2024-11-10 08:40:46.798,2024-11-10 08:41:28.120,41322
sql,yelp-reviews,0.921238,CHIPMUNK_WH_XS,3,2024-11-10 08:39:41.974,2024-11-10 08:40:28.733,46759
sql,yelp-reviews,0.921238,CHIPMUNK_WH_XS,2,2024-11-10 08:38:38.323,2024-11-10 08:39:26.126,47803
sql,yelp-reviews,0.921238,CHIPMUNK_WH_XS,1,2024-11-10 08:35:10.033,2024-11-10 08:35:57.391,47358
